iter	Accuracy	MultiClass
700	0.8257408873	0.479887959
701	0.8258751922	0.4797508303
702	0.8259175795	0.479653972
703	0.8259219372	0.4795150951
704	0.8259055127	0.4794295857
705	0.8259224065	0.4792969935
706	0.8259950332	0.4792168387
707	0.8261507674	0.4790647774
708	0.8261035531	0.4789294871
709	0.8260331941	0.4788019395
710	0.8261728438	0.4786779601
711	0.8262126234	0.4785864207
712	0.826235768	0.4784667535
713	0.82624492	0.4783054049
714	0.826359675	0.4781873996
715	0.8263463295	0.4780729351
716	0.8264431225	0.4779529223
717	0.8264228927	0.4778426122
718	0.8264772174	0.4777610045
719	0.8266731522	0.4776082064
720	0.8266730711	0.4775144397
721	0.8267127213	0.4773862286
722	0.8266748695	0.4772421694
723	0.8266327411	0.4771144394
724	0.8267202526	0.4769951108
725	0.8267595629	0.47688864
726	0.8268006695	0.476755539
727	0.8268917778	0.4766027325
728	0.8268790311	0.4765312047
729	0.8269626892	0.4763777044
730	0.8269797125	0.4762675917
731	0.8269883931	0.4761749456
732	0.8269596102	0.4760391643
733	0.8268635454	0.4758375191
734	0.8271487903	0.4757329204
735	0.8274120071	0.4756326132
736	0.827471887	0.4755302201
737	0.8274256925	0.4753861024
738	0.8274446435	0.4752552993
739	0.8274753058	0.4751528792
740	0.8276822374	0.4750215429
741	0.827501317	0.4749310315
742	0.8278037956	0.4748318804
743	0.8278389104	0.4747117034
744	0.8278332585	0.4746291977
745	0.8279410018	0.4745331973
746	0.827864228	0.4744604203
747	0.8279011411	0.4743510763
748	0.8282809575	0.474163735
749	0.8283802288	0.4740586692
750	0.8282732156	0.473961766
751	0.8283827554	0.4738841719
752	0.8283991798	0.4737984083
753	0.8286818981	0.4736668525
754	0.8288559343	0.4735458354
755	0.8288549955	0.473378791
756	0.8290180833	0.4732597849
757	0.8291020002	0.4731330956
758	0.8288944351	0.4730371403
759	0.828916722	0.4729411801
760	0.8290756627	0.4728697826
761	0.8291053844	0.4727795544
762	0.8290830163	0.4726595384
763	0.8291576519	0.4725481529
764	0.8292645356	0.4724492963
765	0.8293308304	0.4723295299
766	0.8295327572	0.4722433326
767	0.8295276713	0.4721742052
768	0.8294651353	0.4720647749
769	0.829601708	0.4719413046
770	0.8295710803	0.4718127196
771	0.8295061956	0.4717389711
772	0.8295851076	0.4716208865
773	0.8296060675	0.4715263024
774	0.8295983256	0.4714353454
775	0.8296855784	0.4713627353
776	0.8296494419	0.4712529443
777	0.8296585938	0.4711696443
778	0.8299344762	0.4710283178
